iter	MAE
0	12.23095177
1	12.21694472
2	12.19346753
3	12.13129505
4	12.09997864
5	12.07758054
6	12.06502371
7	12.05291987
8	12.01981537
9	11.99541588
10	11.98149876
11	11.93569776
12	11.85447647
13	11.79175839
14	11.73730685
15	11.6918122
16	11.66222725
17	11.62893813
18	11.60248281
19	11.57586535
20	11.55114401
21	11.52098402
22	11.47628429
23	11.4440523
24	11.40370388
25	11.37758957
26	11.34416998
27	11.28631839
28	11.23832715
29	11.19423741
30	11.1712546
31	11.13871561
32	11.09683176
33	11.05882353
34	11.00622566
35	10.96755031
36	10.93513123
37	10.92066623
38	10.8863525
39	10.85344057
40	10.8309342
41	10.81426659
42	10.77321812
43	10.7590733
44	10.70983816
45	10.67949608
46	10.67152425
47	10.66366698
48	10.65211645
49	10.64659644
50	10.63593934
51	10.61440387
52	10.60901012
53	10.5727648
54	10.56595297
55	10.54448883
56	10.5083224
57	10.466303
58	10.4351674
59	10.40279396
60	10.35170351
61	10.34635322
62	10.33848194
63	10.32858055
64	10.28880197
65	10.25682032
66	10.21669189
67	10.17788282
68	10.13396166
69	10.09565087
70	10.04584007
71	10.0013829
72	9.99630162
73	9.990795479
74	9.940155989
75	9.932298488
76	9.898634052
77	9.843223037
78	9.839036217
79	9.800851368
80	9.764168383
81	9.728723975
82	9.687385217
83	9.657693837
84	9.603125204
85	9.598123475
86	9.557891967
87	9.554285345
88	9.518086784
89	9.46734867
90	9.417521726
91	9.369935314
92	9.365495609
93	9.30967475
94	9.305018416
95	9.298629337
96	9.29408011
97	9.292321881
98	9.290333932
99	9.236823212
100	9.232856756
101	9.228770517
102	9.187031354
103	9.181509755
104	9.133357795
105	9.082227313
106	9.059931234
107	9.029752274
108	9.028247739
109	9.023876223
110	9.021647326
111	9.017259631
112	8.962443841
113	8.926300318
114	8.925136794
115	8.916553287
116	8.875609474
117	8.873680858
118	8.869199947
119	8.863266049
120	8.824422103
121	8.770755283
122	8.76676545
123	8.736861106
124	8.686024484
125	8.625622121
126	8.624796524
127	8.622041352
128	8.621370109
129	8.56285157
130	8.561354838
131	8.512946366
132	8.468843731
133	8.423244755
134	8.401481702
135	8.400109075
136	8.347767644
137	8.347506195
138	8.296344701
139	8.236587292
140	8.235996679
141	8.233266576
142	8.197763076
143	8.163713646
144	8.120659015
145	8.076179092
146	8.075408254
147	8.073529632
148	8.019952484
149	7.963395986
150	7.926827457
151	7.923380456
152	7.87010401
153	7.833820063
154	7.832846468
155	7.830831074
156	7.78214169
157	7.781593154
158	7.779288234
159	7.775962349
160	7.726989748
161	7.726928156
162	7.726868585
163	7.726809915
164	7.679561364
165	7.679504513
166	7.679452031
167	7.679398423
168	7.679345914
169	7.679299709
170	7.679254198
171	7.67920575
172	7.679161197
173	7.679118935
174	7.67907885
175	7.679037471
176	7.679011306
177	7.629358184
178	7.58501857
179	7.542059727
180	7.500841767
181	7.456307276
182	7.413737586
183	7.363585036
184	7.315200651
185	7.268338715
186	7.265079843
187	7.265050945
188	7.22224557
189	7.177711332
190	7.174603318
191	7.131237411
192	7.088270012
193	7.049714541
194	7.00926677
195	6.972632389
196	6.930442552
197	6.893123949
198	6.856943512
199	6.834027233
200	6.802304563
201	6.76891433
202	6.736671404
203	6.705760901
204	6.677870017
205	6.633941209
206	6.604498096
207	6.562796779
208	6.530261326
209	6.499743544
210	6.460042814
211	6.434919473
212	6.41055899
213	6.373482029
214	6.336929397
215	6.30143635
216	6.266822863
217	6.24522225
218	6.221322247
219	6.189326445
220	6.158740486
221	6.125738823
222	6.107842967
223	6.089870714
224	6.061494505
225	6.030666933
226	6.000631889
227	5.971519914
228	5.946756186
229	5.91875734
230	5.890982487
231	5.864563001
232	5.839669459
233	5.814995834
234	5.800603376
235	5.776006239
236	5.752879048
237	5.73041847
238	5.709612927
239	5.691484361
240	5.670987958
241	5.650327077
242	5.633550398
243	5.614891584
244	5.596126171
245	5.578815264
246	5.561174282
247	5.538004422
248	5.521505916
249	5.518771797
250	5.496412381
251	5.489969393
252	5.475291609
253	5.453405326
254	5.433052943
255	5.430379842
256	5.424732506
257	5.404952429
258	5.385650796
259	5.366646911
260	5.354484824
261	5.336641852
262	5.319396177
263	5.308397088
264	5.292084243
265	5.275823417
266	5.271144619
267	5.255427415
268	5.240217042
269	5.230782102
270	5.230134033
271	5.216096896
272	5.202357428
273	5.187357879
274	5.185085222
275	5.181853721
276	5.16942066
277	5.169139999
278	5.168572142
279	5.156650431
280	5.145151549
281	5.144889129
282	5.138038608
283	5.127244046
284	5.125239331
285	5.114807569
286	5.104711704
287	5.095003297
288	5.093331245
289	5.092645609
290	5.090829802
291	5.081511136
292	5.080260819
293	5.074533061
294	5.074270607
295	5.073992732
296	5.064124628
297	5.055650553
298	5.055472508
299	5.055367796
300	5.055282567
301	5.055197798
302	5.054867274
303	5.052259697
304	5.052168005
305	5.051945315
306	5.051773688
307	5.050956208
308	5.050743831
309	5.050453954
310	5.05028789
311	5.050092414
312	5.049984263
313	5.04977384
314	5.049567912
315	5.049301566
316	5.049196689
317	5.049060574
318	5.040868982
319	5.04057966
320	5.040427086
321	5.038858336
322	5.038794382
323	5.038660478
324	5.038552745
325	5.038439896
326	5.038212363
327	5.038068394
328	5.038033689
329	5.037934409
330	5.037853479
331	5.037758829
332	5.037574628
333	5.037504073
334	5.037375395
335	5.037290485
336	5.037262395
337	5.037114968
338	5.037039948
339	5.037037361
340	5.03673586
341	5.036703006
342	5.029037175
343	5.028988782
344	5.028957025
345	5.028914464
346	5.028820148
347	5.028807645
348	5.028739405
349	5.028630908
350	5.028572005
351	5.028387558
352	5.02104168
353	5.020915371
354	5.020792011
355	5.020691911
356	5.020582767
357	5.020511199
358	5.020399639
359	5.020286168
360	5.020183606
361	5.020028212
362	5.019933973
363	5.019822156
364	5.019715095
365	5.017183347
366	5.017079851
367	5.017035297
368	5.012504183
369	5.005701651
370	5.004175055
371	5.00396802
372	5.003832693
373	5.003730207
374	5.003624447
375	4.997066226
376	4.99691085
377	4.996789105
378	4.996610233
379	4.996476387
380	4.996388394
381	4.995438669
382	4.995301823
383	4.995276993
384	4.995124455
385	4.995067734
386	4.99500062
387	4.994897621
388	4.994049987
389	4.987484386
390	4.987354056
391	4.984946568
392	4.984803361
393	4.978837103
394	4.976071864
395	4.975927454
396	4.975834844
397	4.975715814
398	4.975600768
399	4.975513169
400	4.97539033
401	4.973272327
402	4.973159415
403	4.973018574
